text,label
"Win a free iPhone now click here",spam
"Hey are we meeting today?",ham
"Congratulations you have won lottery claim now",spam
"I will call you later",ham
"Limited offer buy now and get 50 percent off",spam
"Let us go for lunch tomorrow",ham
"You have been selected for a prize",spam
"Can you send me the notes?",ham
"Earn money quickly from home",spam
"See you at the party tonight",ham
"This is the best day ever I am so happy",ham
"I am feeling very sad and tired",ham
"Amazing experience loved it so much",ham
"This is terrible and disappointing",ham
"Get rich quick scheme limited time",spam